,word,frequence,rang
374,sense,51,375
375,All,51,376
376,appreciate,51,377
377,bill,50,378
378,found,50,379
379,haha,50,380
380,In,50,381
381,bit,50,382
382,week,50,383
383,run,50,384
384,enjoyed,50,385
385,nothing,50,386
386,ago,49,387
387,home,49,388
388,might,49,389
389,New,49,390
390,girl,49,391
391,rest,48,392
392,truly,48,393
393,stand,48,394
394,able,48,395
395,ya,48,396
396,bless,47,397
397,without,47,398
398,heard,47,399
399,human,47,400
400,seen,47,401
401,Welcome,47,402
402,used,47,403
403,different,46,404
404,women,46,405
405,pleasure,46,406
406,yes,46,407
407,When,46,408
408,course,46,409
409,end,46,410
410,each,46,411
411,understand,46,412
412,far,45,413
413,totally,45,414
414,Will,45,415
415,workouts,45,416
416,coming,45,417
417,funny,45,418
418,doesn't,45,419
419,talks,45,420
420,Maybe,45,421
421,enjoy,44,422
422,loved,44,423
423,call,44,424
424,One,44,425
425,anyone,44,426
426,I'd,44,427
427,share,44,428
428,listen,43,429
429,gonna,43,430
430,Trump,43,431
431,quite,43,432
432,presentation,43,433
433,message,43,434
434,sir,42,435
435,myself,42,436
436,else,42,437
437,ask,42,438
438,brain,42,439
439,together,42,440
440,fight,42,441
441,matter,41,442
442,TO,41,443
443,maybe,41,444
444,yeah,41,445
445,least,41,446
446,went,41,447
447,talking,41,448
448,free,41,449
449,name,41,450
450,power,41,451
451,10,40,452
452,once,40,453
453,knew,40,454
454,fact,40,455
455,body,40,456
456,taking,40,457
457,group,40,458
458,Thats,40,459
459,health,40,460
460,reason,39,461
461,children,39,462
462,P,39,463
463,public,39,464
464,service,39,465
465,reading,39,466
466,thats,39,467
467,kids,39,468
468,whole,39,469
469,For,39,470
470,stupid,38,471
471,voting,38,472
472,Congress,38,473
473,thinking,38,474
474,face,38,475
475,sounds,38,476
476,Lol,38,477
477,school,38,478
478,Amazing,38,479
479,Don't,38,480
480,team,38,481
481,state,38,482
482,movie,37,483
483,young,37,484
484,ideas,37,485
485,experience,37,486
486,excited,37,487
487,office,37,488
488,music,37,489
489,hate,37,490
490,night,37,491
491,mean,37,492
492,progress,37,493
493,ready,37,494
494,comment,37,495
495,community,37,496
496,Is,36,497
497,S,36,498
498,guess,36,499
499,books,36,500
500,Glad,36,501
501,technology,36,502
502,U,36,503
503,Also,36,504
504,house,36,505
505,lives,36,506
506,picture,36,507
507,https,36,508
508,become,36,509
509,AND,36,510
510,miss,35,511
511,NOT,35,512
512,called,35,513
513,high,35,514
514,party,35,515
515,youre,35,516
516,shit,35,517
517,morning,35,518
518,Christmas,35,519
519,spending,35,520
520,sad,35,521
521,running,35,522
522,watched,34,523
523,remember,34,524
524,either,34,525
525,Best,34,526
526,level,34,527
527,fantastic,34,528
528,meet,34,529
529,took,34,530
530,pic,34,531
531,class,34,532
532,Really,34,533
533,points,34,534
534,strong,34,535
535,Way,33,536
536,5,33,537
537,Tammy,33,538
538,Bless,33,539
