,theatre,by,school,day,bus
theatre,,0.7931062112096309,,,0.9030418139518032
by,0.7931062112096309,,0.3241299048199835,0.7259920153510943,0.4489733800815987
school,,0.3241299048199835,,0.5936265612834741,-0.05778758876751888
day,,0.7259920153510943,0.5936265612834741,,0.25096511737211036
bus,0.9030418139518032,0.4489733800815987,-0.05778758876751888,0.25096511737211036,
